_id,상품 id,닉네임,구매정보,댓글
6593504a59327f64a58a36e8,6593504959327f64a58a36e7,LV.5 jinswhere,하트 벌룬 스웻 셔츠-레드\n1.5(기모 ver)\n구매,귀엽고 사이즈도 오버핏으로 괜찮은데\n색깔이 조금 더 채도가 짙었으면 어땠을까 싶네여..\n약간 생각보다 물빠진 색이랄까\n토마토주스 색이에여 멋쟁이 토마토
6593504a59327f64a58a36e9,6593504959327f64a58a36e7,LV.6 MMRO,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,"솔직히 저는 생각보다 너무 발렌타인데이 이벤트용 옷 같아가지구 별로 였는데, 반품비가 6천얼마여가지고 그냥 뒀거든요.\n근데 동생이 입으니까 왜이렇게 상큼하고 예뿐지 >_< 달라고 하면 줄건뎅 이거 보면 달라고 해~~\n동생도 키몸무게는 비슷하고 아주아주 잘어울립니당."
6593504a59327f64a58a36ea,6593504959327f64a58a36e7,LV.6 두두두두두두등장,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,만족스러워요 컬러도 예쁘고 추천해요 휘뚜루마뚜루입기 좋은 옷
6593504a59327f64a58a36eb,6593504959327f64a58a36e7,LV.6 HR33,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,너무너무 이뻐요 역시 요정같은 내여자칭구 아주 잘샀읍니다
6593504a59327f64a58a36ec,6593504959327f64a58a36e7,LV.3 JayeB,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,제 키에도 너무 올라오지 않는 적당한 크롭 기장이라 마음에 들었어요! 색은 사진이랑 똑같아요 만족스럽습니당 :)
6593504a59327f64a58a36ed,6593504959327f64a58a36e7,LV.5 망고조와,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,색감이랑 핏이 예뻐서 자주 입을 것 같아요. 팔 기장도 길어서 좋네용
6593504a59327f64a58a36ee,6593504959327f64a58a36e7,LV.7 재서깅,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,키 큰데 딱 예쁜 크롭 기장이고 색깔 마음에 들어요 봄가을에 입기 딱입니당
6593504a59327f64a58a36ef,6593504959327f64a58a36e7,LV.3 현관이좋아요,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,"어두운 빨강을 생각했는데, 화면에 비해 색이 생각보다 환한 빨강이고, 길이가 좀 기네요 음..ㅠ\n입었을 때 그래도 핏이 나쁘지는 않아 4점 갑니당."
6593504a59327f64a58a36f0,6593504959327f64a58a36e7,LV.6 카은style,하트 벌룬 스웻 셔츠-레드\n1.5\n구매,넘 이쁜 컬러와 핏! 요즘 자주 입고있어요ㅎ 가을에 입기 딱 좋아용 가격도 저렴해서 좋아요 역시 후기가 많은데는 이유가 있답니당
6593504a59327f64a58a36f1,6593504959327f64a58a36e7,LV.5 정짱쓰,하트 벌룬 스웻 셔츠-레드\n2(기모 ver)\n구매,친구 사줬어요 요즘 유행하는 항공샷인데 통과인가용
6593505359327f64a58a36f3,6593505259327f64a58a36f2,LV.3 엄토리,스탠다드 스웨츠 셔츠\n블랙/M\n구매,제 체형에 m사이즈 딱 맞아요! 좀 더 오버핏으로 입고 싶으시면 L 사는게 맞는거 같긴한데 저는 원하던 핏이라 좋았어요. 재질도 부드럽고 가격대비 너무 잘 입고 있습니당
6593505359327f64a58a36f4,6593505259327f64a58a36f2,LV.3 마이니산,스탠다드 스웨츠 셔츠\n그레이/L\n구매,그냥 무난한 느낌으로 샀는데 정말 기대 그대로네여. 다만 팔 기장이 약간 길어서 주름이 지는게 아쉽네요.\n싸게 사서 불만은 없습니다. 이너로 안에 입을거라서 상관은 없을듯해요
6593505359327f64a58a36f5,6593505259327f64a58a36f2,LV.3 뉴비_6cbef3ef1353,스탠다드 스웨츠 셔츠\n연핑크/L\n구매,배송도 빠르고 잘 맞습니다.\n안에 레이어드 할거면 한치수 크게 주문해야할것같아요
6593505459327f64a58a36f6,6593505259327f64a58a36f2,LV.7 나야나ㅎ,스탠다드 스웨츠 셔츠\n그린/L\n구매,통통한 이모가 입으려고 구매했는데 기장이 짧다고 동생주심...ㅎㅎ
6593505459327f64a58a36f7,6593505259327f64a58a36f2,LV.4 뉴비_6033cd563fc4,스탠다드 스웨츠 셔츠\n백메란지/2XL\n구매,종 크긴 한데 오버핀으로 편하게 입기엔 딱 좋습니다 두께는 기대했던것 보다 얇은 편이에요
6593505459327f64a58a36f8,6593505259327f64a58a36f2,LV.3 YS파파,스탠다드 스웨츠 셔츠\n그레이/L\n구매,사이즈 적당하고 핏 좋아요. 따듯하고 좋습니다. 색감도 매우 만족 합니다. 잘 입을께요
6593505459327f64a58a36f9,6593505259327f64a58a36f2,LV.3 YS파파,스탠다드 스웨츠 셔츠\n아이보리/L\n구매,사이즈 적당하고 핏 좋아요. 따듯하고 좋습니다. 색감도 매우 만족 합니다. 잘 입을께요
6593505459327f64a58a36fa,6593505259327f64a58a36f2,LV.3 하비지은,스탠다드 스웨츠 셔츠\n그레이/3XL\n구매,평범하면서도 고급스러운 스타일 입니다 편하게 입기 좋습니다
6593505459327f64a58a36fb,6593505259327f64a58a36f2,LV.5 뉴비_6513d064,스탠다드 스웨츠 셔츠\n블랙/L\n구매,가격대비 너무 좋은 거 같아요 전투용으로 항상 입고 다닐거 같아요
6593505459327f64a58a36fc,6593505259327f64a58a36f2,LV.3 뉴비_6cbef3ef1353,스탠다드 스웨츠 셔츠\n아이보리/L\n구매,배송도 빠르고 잘 맞습니다.\n안에 레이어드 할거면 한치수 크게 주문해야할것같아요
6593505c59327f64a58a36fe,6593505b59327f64a58a36fd,LV.4 Kmc02,SMALL CENTER 맨투맨 (STMSTD-0015)\n{화이트멜란지}/[XL]\n구매,가격에 비해 원단도 좋은 거 같고 짱짱합니다. 다만 기모인데 기모 언급이 없어서 좀 아쉬운 부분입니다.
6593505c59327f64a58a36ff,6593505b59327f64a58a36fd,LV.6 갈릭미,SMALL CENTER 맨투맨 (STMSTD-0015)\n{네이비}/[XL]\n구매,막 입고다닐 맨투맨이 필요해서 구매했는데 재질도 맘에들고 사이즈도 딱 세미오버로 좋네요. 길거리에서 많이 보이는 브랜드도 아니라 더욱 좋구요. 가격대비 매우 만족스럽습니다만 가격이 가격인지라 짱짱하다는 느낌은 아닙니다 그럼에도 킹성비
6593505c59327f64a58a3700,6593505b59327f64a58a36fd,LV.3 나갈까,SMALL CENTER 맨투맨 (STMSTD-0015)\n{화이트멜란지}/[L]\n구매,착용감이나 핏 마음에 들고 작게 들어가있는 프린팅이 포인트를 줘서 좋은것 같아요
6593505c59327f64a58a3701,6593505b59327f64a58a36fd,LV.3 뉴비_7f8c864e,SMALL CENTER 맨투맨 (STMSTD-0015)\n{화이트멜란지}/[M]\n구매,찰떡으로 잘맞아요~~~^^\n무신사에서 옷사면 다 큰데 요옷은 딱 잘맞네요~~
6593505c59327f64a58a3702,6593505b59327f64a58a36fd,LV.5 준새미,SMALL CENTER 맨투맨 (STMSTD-0015)\n{블랙}/[L]\n구매,잠옷에 대충 걸쳤는데도 핏 좋고 돼지인 저한테도 적당히 맞네요
6593505c59327f64a58a3703,6593505b59327f64a58a36fd,LV.3 뉴비_5c19c0ffcf71,SMALL CENTER 맨투맨 (STMSTD-0015)\n{네이비}/[L]\n구매,포장 꼼꼼하고 배송 빠르네요.\n안감이 기모라 따뜻하겠어요.\n오버핏으로 중학생 아들 편힌다고 하네요.
6593505c59327f64a58a3704,6593505b59327f64a58a36fd,LV.3 멤버_be5cc7889c15,SMALL CENTER 맨투맨 (STMSTD-0015)\n{블랙}/[L]\n구매,후드티 구매하고 마음에들어서 맨투맨까지 구매했어요ㅎㅎ\n우선 두툼하고 핏이 이뻐서 맘에드네요~~!\n그냥 하나만 걸쳐도 이뿌네요 ^^
6593505c59327f64a58a3705,6593505b59327f64a58a36fd,LV.3 Mmmmn14,SMALL CENTER 맨투맨 (STMSTD-0015)\n{블랙}/[M]\n구매,팔 기장은 적당한거같고 약간 엉덩이 덮는듯한 기장이고 로고도 너무 과하진 않아서 좋은 것 같고 휘뚜루마뚜루 잘 입고 다닐거 같아여
6593505c59327f64a58a3706,6593505b59327f64a58a36fd,LV.4 뉴비스트0,SMALL CENTER 맨투맨 (STMSTD-0015)\n{네이비}/[L]\n구매,색감부터 사이즈 정말 이쁩니다! 평소 M을 입긴하지만\nL사이즈도 잘 맞습니다 색감은 어두운 네이비 정도에요 ㅎ
6593505c59327f64a58a3707,6593505b59327f64a58a36fd,LV.5 멤버_52dda3b1935f,SMALL CENTER 맨투맨 (STMSTD-0015)\n{네이비}/[XL]\n구매,잘 안 줄어들고 좋은 구 같아요. 색상도 넘 이쁩니다
6593506359327f64a58a3709,6593506259327f64a58a3708,LV.4 몽또뜨,VNBC 버스터즈 특양면 맨투맨\n메란지그레이/M\n구매,주변에서 맨투맨 귀엽다는 말을 벌써 몇번이나 들었네용! 사길 잘했다는 생각이 드는 제품 중 하나ㅎㅎ셋업 팬츠도 조만간 사려구요.
6593506359327f64a58a370a,6593506259327f64a58a3708,LV.5 heyelmo,VNBC 버스터즈 특양면 맨투맨\n메란지그레이(기모)/L\n구매,와이프 입을려고 사줬는데 좋닥하네용 부들부들하니 촉감좋고 따뜻하고 좋다고하내용
6593506359327f64a58a370b,6593506259327f64a58a3708,LV.5 금방와요,VNBC 버스터즈 특양면 맨투맨\n메란지그레이/4XL\n구매,"평소 좋아하는 브랜드입니다!\n핏이 예뻐서 애용했는데 프린팅된 바니가 너무 힙하고 귀여워서 고민하다가 구매했습니다.\n\n평소 밝은 색을 선호해서 크림색하고 고민했지만 이 옷은 그레이가 더 예쁘더군요!\n\n맨투맨의 질은 시보리 아니겠습니까?\n소매, 목, 밑단 전부 괜찮은 퀄리티로 항상 구매할 때마다 만족스럽습니다!\n\n역시 믿고사는 맨투맨 브랜드 벤힛!\n프린팅이 너무 귀여워서 추운 날씨에 입을 기모 버전으로 추가 구매 고려중입니다~\n\n그럼 또 구매하러 올게요!"
6593506359327f64a58a370c,6593506259327f64a58a3708,LV.5 김떡먹고체함,VNBC 버스터즈 특양면 맨투맨\n메란지그레이/M\n구매,"저렴하게 구입했어요 프린팅이 귀여워요\n두께는 생각보다 얇고 흐믈거리며 여리여리한 느낌,\n환절기에 입으면 좋을 것 같아요 면재질이라 불편함 없어요\n하단 시보리가 쨍쨍해요 프린팅도 막 튀진않고 색상은 무난하게 스타일링 할 수 있을 것 같아요"
6593506359327f64a58a370d,6593506259327f64a58a3708,LV.3 혜송송이,VNBC 버스터즈 특양면 맨투맨\n메란지그레이/L\n구매,프린팅이 귀엽고 티도 부드러워서 착용감 좋아요! 오버핏 좋아해서 라지로 샀는데 딱이에요
6593506359327f64a58a370e,6593506259327f64a58a3708,LV.3 뉴비_790fb513f3cc,VNBC 버스터즈 특양면 맨투맨\n메란지그레이(기모)/M\n구매,면톡톡하고 기모도너무두껍지않아좋아요\n뉴진스토끼같기도하고귀여워요
6593506359327f64a58a370f,6593506259327f64a58a3708,LV.4 dladla0,VNBC 버스터즈 특양면 맨투맨\n코튼크림(기모)/XL\n구매,사이즈도 너무 잘맞고 두께감 원단 다 너무 좋아요
6593506359327f64a58a3710,6593506259327f64a58a3708,LV.5 yangzzu,VNBC 버스터즈 특양면 맨투맨\n메란지그레이(기모)/L\n구매,저는 오버사이즈일줄 알았는데 생각보다 딱맞는(?)느낌이에요. 그래도 무난무난합니다. 생각보다 얇아서 가볍고 기모가 있어요!
6593506359327f64a58a3711,6593506259327f64a58a3708,LV.3 뉴비_7ddc8111,VNBC 버스터즈 특양면 맨투맨\n메란지그레이(기모)/M\n구매,따뜻하고 귀여워요. 색깔과 디자인이 무난해서 어디든 코디 가능
6593506359327f64a58a3712,6593506259327f64a58a3708,LV.3 스마일8,VNBC 버스터즈 특양면 맨투맨\n메란지그레이(기모)/M\n구매,따뜻하고 핏도 좋고 한번 세탁했는데 목 늘어짐 별로없어요! 특가로 좋은가격에 좋은품질 감사드립니당
